GPU Times, time.time(), clock_realtime
4119817000,1535541934.157780,1535541934.157809
4119886409,1535541934.230819,1535541934.230849
4119955818,1535541934.299919,1535541934.299948
4120025228,1535541934.369458,1535541934.369487
4120094637,1535541934.438793,1535541934.438822
4120164046,1535541934.510662,1535541934.510691
4120233456,1535541934.577436,1535541934.577465
4120302865,1535541934.646973,1535541934.647001
4120372274,1535541934.716420,1535541934.716448
4120441683,1535541934.785960,1535541934.785989
4120511093,1535541934.857426,1535541934.857455
4120580502,1535541934.924741,1535541934.924769
4120649912,1535541934.993942,1535541934.993971
4120719321,1535541935.063481,1535541935.063508
4120788730,1535541935.133838,1535541935.133867
4120858140,1535541935.204566,1535541935.204595
4120927549,1535541935.271832,1535541935.271860
4120996959,1535541935.340888,1535541935.340916
4121066368,1535541935.410600,1535541935.410629
4121135777,1535541935.479781,1535541935.479809
4121205186,1535541935.551378,1535541935.551406
4121274596,1535541935.618587,1535541935.618615
4121344005,1535541935.688100,1535541935.688128
4121413414,1535541935.757595,1535541935.757622
4121482824,1535541935.826999,1535541935.827028
4121552233,1535541935.898634,1535541935.898662
4121621643,1535541935.965662,1535541935.965690
4121691056,1535541936.035388,1535541936.035417
4121760461,1535541936.104656,1535541936.104684
4121829871,1535541936.174287,1535541936.174314
4121899280,1535541936.246718,1535541936.246746
4121968689,1535541936.313654,1535541936.313682
4122038099,1535541936.382959,1535541936.382985
4122107508,1535541936.452292,1535541936.452320
4122176917,1535541936.521697,1535541936.521726
4122246327,1535541936.593519,1535541936.593546
4122315736,1535541936.660861,1535541936.660889
4122385145,1535541936.730433,1535541936.730463
4122454555,1535541936.799677,1535541936.799707
4122523964,1535541936.868840,1535541936.868869
4122593373,1535541936.941698,1535541936.941727
4122662783,1535541937.007631,1535541937.007659
4122732192,1535541937.077002,1535541937.077029
4122801601,1535541937.146436,1535541937.146466
4122871011,1535541937.215698,1535541937.215727
4122940420,1535541937.287563,1535541937.287596
4123009830,1535541937.354513,1535541937.354541
4123079239,1535541937.423985,1535541937.424012
4123148648,1535541937.493211,1535541937.493241
4123218058,1535541937.562818,1535541937.562849
4123287467,1535541937.634765,1535541937.634793
4123356876,1535541937.701633,1535541937.701663
4123426285,1535541937.770977,1535541937.771006
4123495695,1535541937.840442,1535541937.840472
4123565104,1535541937.909712,1535541937.909740
4123634513,1535541937.981925,1535541937.981955
4123703923,1535541938.048549,1535541938.048578
4123773332,1535541938.117846,1535541938.117877
4123842742,1535541938.187336,1535541938.187365
4123912151,1535541938.256775,1535541938.256804
4123981560,1535541938.329808,1535541938.329837
4124050970,1535541938.395756,1535541938.395784
4124120379,1535541938.465911,1535541938.465944
4124189788,1535541938.534888,1535541938.534918
4124259198,1535541938.604248,1535541938.604277
4124328607,1535541938.676129,1535541938.676157
4124398016,1535541938.743118,1535541938.743146
4124467426,1535541938.812509,1535541938.812538
4124536835,1535541938.881930,1535541938.881960
4124606244,1535541938.951250,1535541938.951279
4124675654,1535541939.023354,1535541939.023384
4124745063,1535541939.090295,1535541939.090323
4124814472,1535541939.159416,1535541939.159444
4124883882,1535541939.228984,1535541939.229013
4124953291,1535541939.298213,1535541939.298241
4125022700,1535541939.370264,1535541939.370294
4125092110,1535541939.436714,1535541939.436743
4125161519,1535541939.506027,1535541939.506056
4125230929,1535541939.575534,1535541939.575563
4125300338,1535541939.645195,1535541939.645225
4125369747,1535541939.716776,1535541939.716805
4125439157,1535541939.784152,1535541939.784184
4125508566,1535541939.853020,1535541939.853049
4125577975,1535541939.922443,1535541939.922474
4125647385,1535541939.991980,1535541939.992009
4125716794,1535541940.063856,1535541940.063885
4125786203,1535541940.130669,1535541940.130698
4125855612,1535541940.200008,1535541940.200036
4125925024,1535541940.269571,1535541940.269601
4125994431,1535541940.338931,1535541940.338961
4126063840,1535541940.410965,1535541940.410994
4126133250,1535541940.477853,1535541940.477882
4126202659,1535541940.547159,1535541940.547187
4126272069,1535541940.616564,1535541940.616593
4126341478,1535541940.685989,1535541940.686017
4126410887,1535541940.757894,1535541940.757922
4126480297,1535541940.824830,1535541940.824859
4126549706,1535541940.894576,1535541940.894606
4126619115,1535541940.963672,1535541940.963700
4126688525,1535541941.033537,1535541941.033566
4126757934,1535541941.105440,1535541941.105470
4126827343,1535541941.172418,1535541941.172446
4126896753,1535541941.241889,1535541941.241919
4126966162,1535541941.311253,1535541941.311283
4127035571,1535541941.379945,1535541941.379973
4127104981,1535541941.452195,1535541941.452225
4127174390,1535541941.519232,1535541941.519260
4127243799,1535541941.588548,1535541941.588577
4127313209,1535541941.657887,1535541941.657915
4127382618,1535541941.727379,1535541941.727407
4127452027,1535541941.799298,1535541941.799328
4127521437,1535541941.866207,1535541941.866236
4127590846,1535541941.935580,1535541941.935609
4127660256,1535541942.004993,1535541942.005022
4127729665,1535541942.074502,1535541942.074531
4127799074,1535541942.146591,1535541942.146620
4127868484,1535541942.213088,1535541942.213117
4127937893,1535541942.282569,1535541942.282599
4128007302,1535541942.352048,1535541942.352076
4128076711,1535541942.421443,1535541942.421473
4128146121,1535541942.495097,1535541942.495124
4128215530,1535541942.561281,1535541942.561309
4128284939,1535541942.629461,1535541942.629488
4128354349,1535541942.698813,1535541942.698843
4128423758,1535541942.768133,1535541942.768161
4128493167,1535541942.840090,1535541942.840118
4128562577,1535541942.906976,1535541942.907004
4128631986,1535541942.976410,1535541942.976439
4128701396,1535541943.046481,1535541943.046510
4128770805,1535541943.115819,1535541943.115848
4128840214,1535541943.187572,1535541943.187601
4128909624,1535541943.254699,1535541943.254726
4128979033,1535541943.324202,1535541943.324230
4129048442,1535541943.393450,1535541943.393480
4129117852,1535541943.462240,1535541943.462269
4129187261,1535541943.534459,1535541943.534487
4129256670,1535541943.601265,1535541943.601294
4129326080,1535541943.670622,1535541943.670651
4129395489,1535541943.739885,1535541943.739914
4129464898,1535541943.809383,1535541943.809412
4129534308,1535541943.881264,1535541943.881293
4129603717,1535541943.948364,1535541943.948393
4129673126,1535541944.018012,1535541944.018041
